Name,Subject,Date,Remarks,Term,Week
Mathematics Final Revision,Mathematics,22/02/2023,Simplified Math Notes,1,GA1
"Compiled Math Notes for the Year ",Mathematics,14/02/2023,Compiled PDF Notes for Mathematics,the entire year,Year 2023
Quadratic Equation Exercise,Mathematics,01/02/2023,,1,5
Inequalities Sums,Mathematics,01/02/2023,,1,5
Algebraic Equations and Formulae,Mathematics,,,,
Linear Equations,Mathematics,12/01/2023,,1,5
Identity by Latha (Page 130 to 132),Literature,30/01/2023,Marginalisation / Model Answers,1,5
Literature,Literature,16/01/2023,,1,2
Electrical Systems,Science,02/03/2023,For Electrical Systems,1,10
"Electricity ",Science,14/02/2023,,1,6
Chemical Component Explanations,Science,,,,
"Personal Recount - Reflective ",English,14/02/2023,Sample essays and examples,1,6
Main stuff tested for exams,Geography,15/02/2023,"Main stuff to remember and is tested for exams! ",1,6
Sustainable Cities With Modern Answers,Geography,15/02/2023,Sustainable Cities,1,5
Japanese Occupation,History,15/02/2023,PEEL Paragraphs (SQ),1,4
华文GA1 Notes,Chinese,24/02/2023,"Notes from L1 to L3 for GA1 ",1,8
